x-min,y-mni,z-mni,x-tal,y-tal,z-tal,dist1,BA1,AnatA1,AnatB1,dist2,BA2,AnatA2,AnatB2,dist3,BA3,AnatA3,AnatB3
-3,-60,8,-3,-58,10,3,Brodmann area 30,Posterior Cingulate,Limbic Lobe,3,Brodmann area 29,Posterior Cingulate,Limbic Lobe,6,Brodmann area 23,Posterior Cingulate,Limbic Lobe
4,-60,8,4,-58,10,2,Brodmann area 30,Posterior Cingulate,Limbic Lobe,3,Brodmann area 29,Posterior Cingulate,Limbic Lobe,6,Brodmann area 23,Posterior Cingulate,Limbic Lobe
11,-60,8,11,-58,10,4,Brodmann area 30,Cuneus,Occipital Lobe,7,Brodmann area 18,Lingual Gyrus,*,8,Brodmann area 29,Posterior Cingulate,Limbic Lobe
18,-60,8,18,-58,10,3,Brodmann area 30,Posterior Cingulate,Limbic Lobe,8,Brodmann area 18,Lingual Gyrus,*,8,Brodmann area 31,Posterior Cingulate,Limbic Lobe
25,-60,8,25,-58,10,8,Brodmann area 30,Posterior Cingulate,Limbic Lobe,8,Brodmann area 18,Lingual Gyrus,*,9,Brodmann area 31,Posterior Cingulate,Limbic Lobe
46,-60,8,46,-58,10,5,Brodmann area 39,Middle Temporal Gyrus,Temporal Lobe,6,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,7,Brodmann area 19,Middle Temporal Gyrus,Occipital Lobe
53,-60,8,52,-58,10,3,Brodmann area 39,Middle Temporal Gyrus,Temporal Lobe,6,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,7,Brodmann area 37,Middle Temporal Gyrus,Temporal Lobe
60,-60,8,59,-58,10,3,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,4,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,5,Brodmann area 39,Middle Temporal Gyrus,Temporal Lobe
-66,-53,8,-65,-51,10,3,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,3,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,9,Brodmann area 39,Middle Temporal Gyrus,Temporal Lobe
-59,-53,8,-58,-51,10,2,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,4,Brodmann area 39,Middle Temporal Gyrus,Temporal Lobe,5,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe
-52,-53,8,-51,-51,10,3,Brodmann area 39,Superior Temporal Gyrus,Temporal Lobe,3,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,8,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe
-10,-53,8,-10,-51,10,5,Brodmann area 30,Posterior Cingulate,Limbic Lobe,5,Brodmann area 29,Posterior Cingulate,Limbic Lobe,7,Brodmann area 18,Lingual Gyrus,*
4,-53,8,4,-51,10,3,Brodmann area 29,Posterior Cingulate,Limbic Lobe,3,Brodmann area 30,Posterior Cingulate,Limbic Lobe,7,Brodmann area 23,Posterior Cingulate,Limbic Lobe
11,-53,8,11,-51,10,5,Brodmann area 30,Posterior Cingulate,Limbic Lobe,6,Brodmann area 29,Posterior Cingulate,Limbic Lobe,6,Brodmann area 18,Lingual Gyrus,*
18,-53,8,18,-51,10,5,Brodmann area 30,Posterior Cingulate,Limbic Lobe,7,Brodmann area 18,Lingual Gyrus,*,10,Brodmann area 19,Lingual Gyrus,*
25,-53,8,25,-51,10,6,Brodmann area 30,Parahippocampal Gyrus,*,8,Brodmann area 18,Lingual Gyrus,*,13,Brodmann area 19,Lingual Gyrus,*
46,-53,8,46,-51,10,3,Brodmann area 39,Middle Temporal Gyrus,Temporal Lobe,8,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,11,Brodmann area 19,Middle Temporal Gyrus,Occipital Lobe
53,-53,8,52,-51,10,2,Brodmann area 39,Superior Temporal Gyrus,Temporal Lobe,3,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,8,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe
60,-53,8,59,-51,10,2,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,4,Brodmann area 39,Middle Temporal Gyrus,Temporal Lobe,5,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe
-66,-46,8,-65,-44,10,2,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,5,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,13,Brodmann area 39,Middle Temporal Gyrus,Temporal Lobe
-59,-46,8,-58,-44,10,3,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,3,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,10,Brodmann area 39,Superior Temporal Gyrus,Temporal Lobe
-52,-46,8,-51,-44,10,4,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,4,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,8,Brodmann area 39,Superior Temporal Gyrus,Temporal Lobe
4,-46,8,4,-44,10,3,Brodmann area 29,Posterior Cingulate,Limbic Lobe,7,Brodmann area 30,Posterior Cingulate,Limbic Lobe,13,Brodmann area 23,Posterior Cingulate,Limbic Lobe
53,-46,8,52,-44,10,3,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,3,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,8,Brodmann area 39,Superior Temporal Gyrus,Temporal Lobe
60,-46,8,59,-44,10,2,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,3,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,10,Brodmann area 39,Superior Temporal Gyrus,Temporal Lobe
67,-46,8,66,-44,10,2,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,6,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,14,Brodmann area 39,Middle Temporal Gyrus,Temporal Lobe
-66,-39,8,-65,-37,9,3,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,8,Brodmann area 21,Middle Temporal Gyrus,*,8,Brodmann area 42,Superior Temporal Gyrus,Temporal Lobe
-59,-39,8,-58,-37,9,3,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,6,Brodmann area 42,Superior Temporal Gyrus,Temporal Lobe,8,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe
-52,-39,8,-51,-37,9,6,Brodmann area 22,Middle Temporal Gyrus,*,8,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,9,Brodmann area 41,Superior Temporal Gyrus,Temporal Lobe
46,-39,8,46,-37,9,5,Brodmann area 41,Superior Temporal Gyrus,Temporal Lobe,8,Brodmann area 29,Superior Temporal Gyrus,Temporal Lobe,9,Brodmann area 22,Middle Temporal Gyrus,*
53,-39,8,52,-37,9,5,Brodmann area 22,Middle Temporal Gyrus,*,7,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,9,Brodmann area 42,Superior Temporal Gyrus,Temporal Lobe
60,-39,8,59,-37,9,3,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,6,Brodmann area 42,Superior Temporal Gyrus,Temporal Lobe,8,Brodmann area 21,Middle Temporal Gyrus,*
67,-39,8,66,-37,9,2,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,8,Brodmann area 21,Middle Temporal Gyrus,*,8,Brodmann area 42,Superior Temporal Gyrus,Temporal Lobe
-66,-32,8,-65,-31,9,2,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,2,Brodmann area 42,Superior Temporal Gyrus,Temporal Lobe,8,Brodmann area 21,Middle Temporal Gyrus,*
-59,-32,8,-58,-31,9,1,Brodmann area 42,Superior Temporal Gyrus,Temporal Lobe,3,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,7,Brodmann area 41,Superior Temporal Gyrus,Temporal Lobe
-52,-32,8,-51,-31,9,5,Brodmann area 41,Superior Temporal Gyrus,Temporal Lobe,7,Brodmann area 42,Superior Temporal Gyrus,Temporal Lobe,7,Brodmann area 29,Superior Temporal Gyrus,Temporal Lobe
-45,-32,8,-45,-31,9,2,Brodmann area 41,Superior Temporal Gyrus,Temporal Lobe,8,Brodmann area 29,Superior Temporal Gyrus,Temporal Lobe,9,Brodmann area 13,Insula,Sub-lobar
60,-32,8,59,-31,9,1,Brodmann area 42,Superior Temporal Gyrus,Temporal Lobe,3,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,8,Brodmann area 41,Superior Temporal Gyrus,Temporal Lobe
67,-32,8,66,-31,9,2,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,3,Brodmann area 42,Superior Temporal Gyrus,Temporal Lobe,8,Brodmann area 21,Middle Temporal Gyrus,*
-66,-25,8,-65,-24,9,4,Brodmann area 42,Superior Temporal Gyrus,Temporal Lobe,5,Brodmann area 22,Superior Temporal Gyrus,*,9,Brodmann area 21,Middle Temporal Gyrus,*
-59,-25,8,-58,-24,9,4,Brodmann area 41,Transverse Temporal Gyrus,Temporal Lobe,5,Brodmann area 42,Superior Temporal Gyrus,Temporal Lobe,7,Brodmann area 40,Postcentral Gyrus,Parietal Lobe
-52,-25,8,-51,-24,9,2,Brodmann area 41,Superior Temporal Gyrus,Temporal Lobe,7,Brodmann area 40,Postcentral Gyrus,Parietal Lobe,9,Brodmann area 22,Superior Temporal Gyrus,*
-45,-25,8,-45,-24,9,3,Brodmann area 41,Superior Temporal Gyrus,Temporal Lobe,4,Brodmann area 13,Superior Temporal Gyrus,Temporal Lobe,6,Brodmann area 22,Superior Temporal Gyrus,*
-38,-25,8,-38,-24,9,1,Brodmann area 13,Insula,Sub-lobar,3,Brodmann area 41,Transverse Temporal Gyrus,Temporal Lobe,9,Brodmann area 22,Superior Temporal Gyrus,*
-31,-25,8,-31,-24,9,5,Brodmann area 13,Insula,Sub-lobar,7,Brodmann area 41,Transverse Temporal Gyrus,Temporal Lobe,11,Brodmann area 29,Superior Temporal Gyrus,Temporal Lobe
46,-25,8,46,-24,9,3,Brodmann area 41,Superior Temporal Gyrus,Temporal Lobe,4,Brodmann area 13,Superior Temporal Gyrus,Temporal Lobe,7,Brodmann area 22,Superior Temporal Gyrus,*
60,-25,8,59,-24,9,5,Brodmann area 42,Superior Temporal Gyrus,Temporal Lobe,5,Brodmann area 41,Transverse Temporal Gyrus,Temporal Lobe,7,Brodmann area 40,Postcentral Gyrus,Parietal Lobe
67,-25,8,66,-24,9,3,Brodmann area 42,Superior Temporal Gyrus,Temporal Lobe,5,Brodmann area 22,Superior Temporal Gyrus,*,9,Brodmann area 21,Middle Temporal Gyrus,*
-66,-18,8,-65,-17,8,4,Brodmann area 42,Superior Temporal Gyrus,Temporal Lobe,4,Brodmann area 22,Superior Temporal Gyrus,*,8,Brodmann area 41,Superior Temporal Gyrus,Temporal Lobe
-59,-18,8,-58,-17,8,1,Brodmann area 41,Superior Temporal Gyrus,Temporal Lobe,4,Brodmann area 42,Transverse Temporal Gyrus,Temporal Lobe,8,Brodmann area 22,Superior Temporal Gyrus,*
-52,-18,8,-51,-17,8,4,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,5,Brodmann area 41,Transverse Temporal Gyrus,Temporal Lobe,5,Brodmann area 13,Superior Temporal Gyrus,Temporal Lobe
-45,-18,8,-45,-17,8,1,Brodmann area 13,Superior Temporal Gyrus,Temporal Lobe,4,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,6,Brodmann area 41,Transverse Temporal Gyrus,Temporal Lobe
-38,-18,8,-38,-17,8,3,Brodmann area 13,Insula,Sub-lobar,8,Brodmann area 22,Superior Temporal Gyrus,*,8,Brodmann area 41,Transverse Temporal Gyrus,Temporal Lobe
39,-18,8,39,-17,8,2,Brodmann area 13,Insula,Sub-lobar,7,Brodmann area 22,Superior Temporal Gyrus,*,7,Brodmann area 41,Transverse Temporal Gyrus,Temporal Lobe
46,-18,8,46,-17,8,0,Brodmann area 13,Superior Temporal Gyrus,Temporal Lobe,3,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,5,Brodmann area 41,Transverse Temporal Gyrus,Temporal Lobe
53,-18,8,52,-17,8,4,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,4,Brodmann area 41,Transverse Temporal Gyrus,Temporal Lobe,6,Brodmann area 13,Superior Temporal Gyrus,Temporal Lobe
60,-18,8,59,-17,8,2,Brodmann area 41,Superior Temporal Gyrus,Temporal Lobe,4,Brodmann area 42,Transverse Temporal Gyrus,Temporal Lobe,7,Brodmann area 22,Superior Temporal Gyrus,*
67,-18,8,66,-17,8,3,Brodmann area 42,Superior Temporal Gyrus,Temporal Lobe,4,Brodmann area 22,Superior Temporal Gyrus,*,8,Brodmann area 43,Postcentral Gyrus,Parietal Lobe
-59,-11,8,-58,-10,8,2,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,4,Brodmann area 42,Transverse Temporal Gyrus,Temporal Lobe,4,Brodmann area 43,Precentral Gyrus,Frontal Lobe
-52,-11,8,-51,-10,8,2,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,4,Brodmann area 6,Precentral Gyrus,Frontal Lobe,4,Brodmann area 43,Precentral Gyrus,Frontal Lobe
-45,-11,8,-45,-10,8,2,Brodmann area 13,Insula,Sub-lobar,4,Brodmann area 6,Precentral Gyrus,Frontal Lobe,5,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe
-38,-11,8,-38,-10,8,4,Brodmann area 13,Insula,Sub-lobar,10,Brodmann area 6,Precentral Gyrus,Frontal Lobe,11,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe
39,-11,8,39,-10,8,3,Brodmann area 13,Insula,Sub-lobar,9,Brodmann area 6,Precentral Gyrus,Frontal Lobe,10,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe
46,-11,8,46,-10,8,3,Brodmann area 13,Insula,Sub-lobar,3,Brodmann area 6,Precentral Gyrus,Frontal Lobe,4,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe
53,-11,8,52,-10,8,3,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,4,Brodmann area 6,Precentral Gyrus,Frontal Lobe,4,Brodmann area 43,Precentral Gyrus,Frontal Lobe
60,-11,8,59,-10,8,3,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,4,Brodmann area 42,Transverse Temporal Gyrus,Temporal Lobe,5,Brodmann area 43,Precentral Gyrus,Frontal Lobe
-59,-4,8,-58,-4,8,0,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,2,Brodmann area 6,Precentral Gyrus,Frontal Lobe,5,Brodmann area 43,Precentral Gyrus,Frontal Lobe
-52,-4,8,-51,-4,8,2,Brodmann area 6,Precentral Gyrus,Frontal Lobe,4,Brodmann area 22,Superior Temporal Gyrus,*,6,Brodmann area 44,Precentral Gyrus,Frontal Lobe
-45,-4,8,-45,-4,8,2,Brodmann area 13,Insula,Sub-lobar,3,Brodmann area 6,Precentral Gyrus,Frontal Lobe,4,Brodmann area 44,Precentral Gyrus,Frontal Lobe
-38,-4,8,-38,-4,8,4,Brodmann area 13,Insula,Sub-lobar,9,Brodmann area 44,Precentral Gyrus,Frontal Lobe,9,Brodmann area 6,Precentral Gyrus,Frontal Lobe
39,-4,8,39,-4,8,4,Brodmann area 13,Insula,Sub-lobar,8,Brodmann area 6,Precentral Gyrus,Frontal Lobe,9,Brodmann area 44,Precentral Gyrus,Frontal Lobe
46,-4,8,46,-4,8,2,Brodmann area 6,Precentral Gyrus,Frontal Lobe,3,Brodmann area 13,Insula,Sub-lobar,4,Brodmann area 44,Precentral Gyrus,Frontal Lobe
53,-4,8,52,-4,8,2,Brodmann area 6,Precentral Gyrus,Frontal Lobe,4,Brodmann area 22,Superior Temporal Gyrus,*,5,Brodmann area 43,Precentral Gyrus,Frontal Lobe
60,-4,8,59,-4,8,1,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,3,Brodmann area 6,Precentral Gyrus,Frontal Lobe,5,Brodmann area 43,Precentral Gyrus,Frontal Lobe
-59,3,8,-58,3,7,3,Brodmann area 6,Precentral Gyrus,Frontal Lobe,3,Brodmann area 22,Superior Temporal Gyrus,*,6,Brodmann area 44,Precentral Gyrus,Frontal Lobe
-45,3,8,-45,3,7,1,Brodmann area 44,Precentral Gyrus,Frontal Lobe,4,Brodmann area 13,Insula,Sub-lobar,6,Brodmann area 6,Precentral Gyrus,Frontal Lobe
-38,3,8,-38,3,7,3,Brodmann area 13,Insula,Sub-lobar,6,Brodmann area 44,Precentral Gyrus,Frontal Lobe,11,Brodmann area 6,Precentral Gyrus,Frontal Lobe
39,3,8,39,3,7,2,Brodmann area 13,Insula,Sub-lobar,5,Brodmann area 44,Precentral Gyrus,Frontal Lobe,10,Brodmann area 6,Precentral Gyrus,Frontal Lobe
46,3,8,46,3,7,2,Brodmann area 44,Precentral Gyrus,Frontal Lobe,5,Brodmann area 13,Insula,Sub-lobar,5,Brodmann area 6,Precentral Gyrus,Frontal Lobe
53,3,8,52,3,7,5,Brodmann area 6,Precentral Gyrus,Frontal Lobe,6,Brodmann area 22,Superior Temporal Gyrus,*,6,Brodmann area 44,Precentral Gyrus,Frontal Lobe
60,3,8,59,3,7,2,Brodmann area 6,Precentral Gyrus,Frontal Lobe,4,Brodmann area 22,Superior Temporal Gyrus,*,6,Brodmann area 44,Precentral Gyrus,Frontal Lobe
-59,10,8,-58,10,7,5,Brodmann area 44,Precentral Gyrus,Frontal Lobe,8,Brodmann area 6,Precentral Gyrus,Frontal Lobe,8,Brodmann area 22,Superior Temporal Gyrus,*
-52,10,8,-51,10,7,5,Brodmann area 44,Inferior Frontal Gyrus,Frontal Lobe,8,Brodmann area 13,Insula,*,8,Brodmann area 22,Superior Temporal Gyrus,*
-38,10,8,-38,10,7,2,Brodmann area 13,Insula,Sub-lobar,4,Brodmann area 44,Precentral Gyrus,Frontal Lobe,12,Brodmann area 47,Inferior Frontal Gyrus,*
-31,10,8,-31,10,7,7,Brodmann area 13,Insula,Sub-lobar,10,Brodmann area 44,Precentral Gyrus,Frontal Lobe,12,Brodmann area 47,Extra-Nuclear,Sub-lobar
32,10,8,32,10,7,6,Brodmann area 13,Insula,Sub-lobar,9,Brodmann area 44,Precentral Gyrus,Frontal Lobe,12,Brodmann area 47,Extra-Nuclear,Sub-lobar
39,10,8,39,10,7,2,Brodmann area 13,Insula,Sub-lobar,3,Brodmann area 44,Precentral Gyrus,Frontal Lobe,11,Brodmann area 47,Inferior Frontal Gyrus,*
46,10,8,46,10,7,3,Brodmann area 44,Precentral Gyrus,Frontal Lobe,4,Brodmann area 13,Insula,*,9,Brodmann area 45,Inferior Frontal Gyrus,*
53,10,8,52,10,7,5,Brodmann area 44,Inferior Frontal Gyrus,Frontal Lobe,7,Brodmann area 22,Superior Temporal Gyrus,*,9,Brodmann area 13,Insula,*
60,10,8,59,10,7,5,Brodmann area 44,Precentral Gyrus,Frontal Lobe,7,Brodmann area 6,Precentral Gyrus,Frontal Lobe,9,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe
-52,17,8,-51,17,7,1,Brodmann area 44,Precentral Gyrus,Frontal Lobe,4,Brodmann area 45,Inferior Frontal Gyrus,*,7,Brodmann area 47,Inferior Frontal Gyrus,*
-45,17,8,-45,17,7,1,Brodmann area 44,Precentral Gyrus,Frontal Lobe,4,Brodmann area 45,Inferior Frontal Gyrus,*,6,Brodmann area 47,Inferior Frontal Gyrus,*
-38,17,8,-38,17,7,2,Brodmann area 13,Insula,Sub-lobar,6,Brodmann area 45,Inferior Frontal Gyrus,*,6,Brodmann area 44,Precentral Gyrus,Frontal Lobe
-31,17,8,-31,17,7,5,Brodmann area 13,Insula,Sub-lobar,9,Brodmann area 47,Extra-Nuclear,Sub-lobar,9,Brodmann area 45,Inferior Frontal Gyrus,*
32,17,8,32,17,7,4,Brodmann area 13,Insula,Sub-lobar,8,Brodmann area 47,Extra-Nuclear,Sub-lobar,9,Brodmann area 45,Inferior Frontal Gyrus,*
39,17,8,39,17,7,2,Brodmann area 13,Insula,Sub-lobar,5,Brodmann area 44,Precentral Gyrus,Frontal Lobe,5,Brodmann area 45,Inferior Frontal Gyrus,*
46,17,8,46,17,7,2,Brodmann area 44,Precentral Gyrus,Frontal Lobe,4,Brodmann area 45,Inferior Frontal Gyrus,*,6,Brodmann area 47,Inferior Frontal Gyrus,*
53,17,8,52,17,7,2,Brodmann area 44,Precentral Gyrus,Frontal Lobe,3,Brodmann area 45,Inferior Frontal Gyrus,Frontal Lobe,7,Brodmann area 47,Inferior Frontal Gyrus,*
60,17,8,59,17,7,3,Brodmann area 45,Inferior Frontal Gyrus,Frontal Lobe,5,Brodmann area 44,Inferior Frontal Gyrus,Frontal Lobe,9,Brodmann area 47,Inferior Frontal Gyrus,*
-52,24,8,-51,24,6,2,Brodmann area 45,Inferior Frontal Gyrus,Frontal Lobe,5,Brodmann area 47,Inferior Frontal Gyrus,*,7,Brodmann area 13,Inferior Frontal Gyrus,Frontal Lobe
-38,24,8,-38,24,6,2,Brodmann area 13,Inferior Frontal Gyrus,Frontal Lobe,5,Brodmann area 45,Inferior Frontal Gyrus,*,5,Brodmann area 47,Inferior Frontal Gyrus,*
-31,24,8,-31,24,6,4,Brodmann area 45,Inferior Frontal Gyrus,*,4,Brodmann area 13,Insula,*,6,Brodmann area 47,Inferior Frontal Gyrus,*
32,24,8,32,24,6,3,Brodmann area 45,Inferior Frontal Gyrus,*,3,Brodmann area 13,Insula,*,5,Brodmann area 47,Inferior Frontal Gyrus,*
39,24,8,39,24,6,3,Brodmann area 13,Inferior Frontal Gyrus,Frontal Lobe,4,Brodmann area 45,Inferior Frontal Gyrus,*,5,Brodmann area 47,Inferior Frontal Gyrus,*
46,24,8,46,24,6,3,Brodmann area 45,Inferior Frontal Gyrus,Frontal Lobe,3,Brodmann area 13,Inferior Frontal Gyrus,Frontal Lobe,7,Brodmann area 47,Inferior Frontal Gyrus,Frontal Lobe
53,24,8,52,24,6,2,Brodmann area 45,Inferior Frontal Gyrus,Frontal Lobe,5,Brodmann area 47,Inferior Frontal Gyrus,*,7,Brodmann area 46,Inferior Frontal Gyrus,Frontal Lobe
-52,31,8,-51,30,6,4,Brodmann area 45,Inferior Frontal Gyrus,*,7,Brodmann area 46,Inferior Frontal Gyrus,Frontal Lobe,9,Brodmann area 47,Inferior Frontal Gyrus,Frontal Lobe
53,31,8,52,30,6,3,Brodmann area 45,Inferior Frontal Gyrus,*,6,Brodmann area 46,Inferior Frontal Gyrus,Frontal Lobe,9,Brodmann area 47,Inferior Frontal Gyrus,Frontal Lobe
-52,38,8,-51,37,6,3,Brodmann area 45,Inferior Frontal Gyrus,*,4,Brodmann area 46,Inferior Frontal Gyrus,*,5,Brodmann area 44,Inferior Frontal Gyrus,*
-45,38,8,-45,37,6,5,Brodmann area 46,Inferior Frontal Gyrus,Frontal Lobe,8,Brodmann area 10,Middle Frontal Gyrus,Frontal Lobe,8,Brodmann area 44,Inferior Frontal Gyrus,*
-38,38,8,-38,37,6,6,Brodmann area 46,Inferior Frontal Gyrus,Frontal Lobe,6,Brodmann area 10,Middle Frontal Gyrus,Frontal Lobe,13,Brodmann area 45,Inferior Frontal Gyrus,*
-3,38,8,-3,37,6,2,Brodmann area 24,Anterior Cingulate,Limbic Lobe,4,Brodmann area 42,Anterior Cingulate,Limbic Lobe,5,Brodmann area 32,Anterior Cingulate,*
4,38,8,4,37,6,2,Brodmann area 24,Anterior Cingulate,*,5,Brodmann area 42,Anterior Cingulate,Limbic Lobe,5,Brodmann area 32,Anterior Cingulate,*
11,38,8,11,37,6,6,Brodmann area 32,Anterior Cingulate,*,7,Brodmann area 24,Anterior Cingulate,*,7,Brodmann area 42,Anterior Cingulate,Limbic Lobe
39,38,8,39,37,6,6,Brodmann area 46,Inferior Frontal Gyrus,Frontal Lobe,7,Brodmann area 10,Middle Frontal Gyrus,Frontal Lobe,13,Brodmann area 44,Inferior Frontal Gyrus,*
46,38,8,46,37,6,6,Brodmann area 46,Inferior Frontal Gyrus,Frontal Lobe,7,Brodmann area 44,Inferior Frontal Gyrus,*,8,Brodmann area 45,Inferior Frontal Gyrus,*
53,38,8,52,37,6,3,Brodmann area 45,Inferior Frontal Gyrus,*,5,Brodmann area 46,Inferior Frontal Gyrus,*,5,Brodmann area 44,Inferior Frontal Gyrus,*
-45,45,8,-45,44,5,4,Brodmann area 46,Middle Frontal Gyrus,Frontal Lobe,5,Brodmann area 10,Inferior Frontal Gyrus,*,7,Brodmann area 44,Inferior Frontal Gyrus,*
-38,45,8,-38,44,5,5,Brodmann area 46,Inferior Frontal Gyrus,Frontal Lobe,6,Brodmann area 10,Inferior Frontal Gyrus,*,13,Brodmann area 44,Inferior Frontal Gyrus,*
-10,45,8,-10,44,5,2,Brodmann area 10,Medial Frontal Gyrus,*,2,Brodmann area 32,Anterior Cingulate,*,4,Brodmann area 42,Anterior Cingulate,Limbic Lobe
-3,45,8,-3,44,5,2,Brodmann area 32,Anterior Cingulate,*,3,Brodmann area 42,Anterior Cingulate,Limbic Lobe,6,Brodmann area 10,Medial Frontal Gyrus,*
4,45,8,4,44,5,2,Brodmann area 32,Anterior Cingulate,*,3,Brodmann area 42,Anterior Cingulate,Limbic Lobe,5,Brodmann area 10,Medial Frontal Gyrus,*
11,45,8,11,44,5,3,Brodmann area 10,Medial Frontal Gyrus,*,3,Brodmann area 32,Anterior Cingulate,*,3,Brodmann area 42,Anterior Cingulate,Limbic Lobe
39,45,8,39,44,5,4,Brodmann area 46,Inferior Frontal Gyrus,Frontal Lobe,6,Brodmann area 10,Inferior Frontal Gyrus,*,12,Brodmann area 44,Inferior Frontal Gyrus,*
46,45,8,46,44,5,3,Brodmann area 46,Middle Frontal Gyrus,Frontal Lobe,5,Brodmann area 10,Inferior Frontal Gyrus,*,6,Brodmann area 44,Inferior Frontal Gyrus,*
-45,52,8,-45,51,5,1,Brodmann area 10,Middle Frontal Gyrus,*,4,Brodmann area 46,Middle Frontal Gyrus,Frontal Lobe,8,Brodmann area 44,Inferior Frontal Gyrus,*
-38,52,8,-38,51,5,4,Brodmann area 10,Middle Frontal Gyrus,Frontal Lobe,8,Brodmann area 46,Middle Frontal Gyrus,Frontal Lobe,13,Brodmann area 44,Inferior Frontal Gyrus,*
-31,52,8,-31,51,5,4,Brodmann area 10,Middle Frontal Gyrus,*,13,Brodmann area 46,Middle Frontal Gyrus,Frontal Lobe,16,Brodmann area 11,Middle Frontal Gyrus,Frontal Lobe
-24,52,8,-24,51,5,2,Brodmann area 10,Middle Frontal Gyrus,*,11,Brodmann area 42,Anterior Cingulate,Limbic Lobe,13,Brodmann area 32,Anterior Cingulate,*
-10,52,8,-10,51,5,4,Brodmann area 10,Medial Frontal Gyrus,*,8,Brodmann area 32,Anterior Cingulate,*,8,Brodmann area 42,Anterior Cingulate,Limbic Lobe
-3,52,8,-3,51,5,1,Brodmann area 10,Medial Frontal Gyrus,*,5,Brodmann area 32,Anterior Cingulate,*,6,Brodmann area 42,Anterior Cingulate,Limbic Lobe
4,52,8,4,51,5,2,Brodmann area 10,Medial Frontal Gyrus,*,5,Brodmann area 32,Anterior Cingulate,*,6,Brodmann area 42,Anterior Cingulate,Limbic Lobe
11,52,8,11,51,5,4,Brodmann area 10,Medial Frontal Gyrus,*,8,Brodmann area 42,Anterior Cingulate,Limbic Lobe,8,Brodmann area 32,Anterior Cingulate,*
25,52,8,25,51,5,1,Brodmann area 10,Middle Frontal Gyrus,*,12,Brodmann area 42,Anterior Cingulate,Limbic Lobe,14,Brodmann area 32,Anterior Cingulate,*
32,52,8,32,51,5,4,Brodmann area 10,Middle Frontal Gyrus,*,12,Brodmann area 46,Middle Frontal Gyrus,Frontal Lobe,17,Brodmann area 11,Middle Frontal Gyrus,Frontal Lobe
